decision_year,decision_description,decision_count
1976,Substantially Equivalent,32
1977,Substantially Equivalent,39
1978,Substantially Equivalent,48
1979,Substantially Equivalent,53
1980,Substantially Equivalent,75
1981,Substantially Equivalent,76
1982,Substantially Equivalent,66
1983,Substantially Equivalent,98
1984,Substantially Equivalent,98
1985,Substantially Equivalent,117
1985,Substantially Equivalent for Some Indications,12
1986,Substantially Equivalent,112
1986,Substantially Equivalent for Some Indications,16
1987,Substantially Equivalent,152
1987,Substantially Equivalent for Some Indications,45
1988,Substantially Equivalent,121
1988,Substantially Equivalent for Some Indications,19
1989,Substantially Equivalent,128
1989,Substantially Equivalent for Some Indications,53
1990,Substantially Equivalent,156
1990,Substantially Equivalent for Some Indications,77
1991,Substantially Equivalent,189
1991,Substantially Equivalent for Some Indications,37
1992,Substantially Equivalent,183
1992,Substantially Equivalent for Some Indications,17
1993,Substantially Equivalent,173
1993,Substantially Equivalent for Some Indications,23
1993,Unknown,1
1994,Substantially Equivalent,293
1994,Substantially Equivalent for Some Indications,117
1994,Unknown,5
1995,Substantially Equivalent,282
1995,Substantially Equivalent for Some Indications,134
1995,Unknown,1
1996,Substantially Equivalent,276
1996,Substantially Equivalent for Some Indications,90
1997,Substantially Equivalent,301
1997,Substantially Equivalent for Some Indications,43
1998,Substantially Equivalent,285
1998,Substantially Equivalent for Some Indications,34
1999,Substantially Equivalent,313
2000,Substantially Equivalent,336
2000,Substantially Equivalent for Some Indications,2
2001,Substantially Equivalent,389
2001,Unknown,2
2002,Substantially Equivalent,406
2003,Substantially Equivalent,388
2004,Substantially Equivalent,458
2004,Unknown,1
2004,Substantially Equivalent for Some Indications,1
2005,Substantially Equivalent,476
2006,Substantially Equivalent,440
2006,Unknown,1
2007,Substantially Equivalent,444
2007,Unknown,4
2008,Substantially Equivalent,473
2008,Unknown,5
2009,Substantially Equivalent,425
2009,Unknown,3
2010,Substantially Equivalent,429
2010,Unknown,4
2011,Substantially Equivalent,538
2011,Unknown,8
2012,Substantially Equivalent,533
2012,Unknown,16
2013,Substantially Equivalent,544
2013,Unknown,6
2014,Substantially Equivalent,581
2014,Unknown,1
2015,Substantially Equivalent,565
2015,Unknown,1
2016,Substantially Equivalent,454
2017,Substantially Equivalent,376
